"COLLEGE","INCOME","OVERAGE","LEFTOVER","HOUSE","HANDSET_PRICE","OVER_15MINS_CALLS_PER_MONTH","AVERAGE_CALL_DURATION","REPORTED_SATISFACTION","REPORTED_USAGE_LEVEL","LEAVE","ID"
"zero",51260,0,23,158914,263,1,4,"very_unsat","little","no",2648
"zero",113583,230,65,737169,870,21,1,"very_unsat","very_high","no",7117
"one",85612,202,18,458873,280,15,4,"very_unsat","high","no",9936
"one",23937,0,88,956070,220,0,1,"very_sat","very_high","no",9272
"zero",158703,0,12,764231,612,20,5,"very_unsat","little","no",2158
"one",154961,171,24,466530,557,25,6,"very_unsat","very_high","no",6742
"one",44559,0,7,673245,247,0,5,"unsat","avg","yes",9112
"one",38385,258,78,378257,239,19,1,"unsat","very_high","yes",9517
"one",114569,0,11,236660,846,1,5,"unsat","high","no",3648
"zero",139427,57,15,340685,425,4,6,"avg","high","no",3120
"one",155120,0,50,407900,236,1,2,"very_unsat","little","no",401
"zero",20761,0,0,701796,182,12,14,"unsat","little","no",4012
"one",40500,0,48,817688,157,1,2,"avg","very_little","no",8872
"zero",138749,0,0,642414,777,0,8,"very_unsat","little","no",668
"zero",75358,0,16,351716,390,1,4,"very_unsat","avg","no",6011
"zero",38685,0,33,443860,209,1,14,"avg","little","yes",7305
"one",30244,72,42,273749,235,5,1,"very_sat","very_little","no",486
"one",72153,0,0,477215,350,1,1,"very_sat","very_little","yes",5864
"one",135177,38,0,214228,703,3,15,"very_sat","little","no",22
"one",26585,250,0,204833,144,20,9,"avg","little","no",8765
"zero",127966,67,0,313181,867,4,15,"unsat","little","no",9239
"one",75282,133,0,656752,210,NA,11,"avg","little","no",455
"zero",51070,0,0,290909,300,1,12,"very_unsat","very_little","no",6624
"one",133626,60,0,558478,864,3,11,"avg","little","no",6394
"zero",42663,0,34,644297,220,1,1,"very_sat","avg","no",8759
"one",149453,100,0,968811,665,5,11,"avg","little","yes",801
"zero",123165,0,82,329931,803,0,2,"very_unsat","little","no",6473
"one",71738,56,0,173045,375,4,12,"very_sat","little","no",1824
"zero",68765,0,0,193076,333,0,12,"very_unsat","avg","no",1156
"zero",21418,0,60,403079,219,1,2,"very_unsat","little","yes",4818
"one",23865,0,16,934835,227,0,4,"very_sat","very_high","no",8348
"one",90832,61,9,869402,376,5,6,"very_unsat","little","yes",612
"one",86710,181,0,469676,256,29,10,"unsat","little","no",4689
"zero",35845,218,0,213438,250,20,15,"avg","little","no",7138
"one",98561,46,45,293976,297,5,2,"very_unsat","very_high","no",3167
"one",34456,96,0,623643,184,3,12,"very_unsat","very_high","no",6127
"one",29666,0,0,499179,136,1,1,"very_unsat","little","no",3494
"one",79868,89,0,187793,254,5,12,"very_sat","avg","no",6368
"zero",105095,0,0,196608,429,1,13,"very_sat","very_high","no",3937
"one",50492,48,15,412587,294,4,5,"unsat","little","no",3026
"one",86977,0,79,977086,328,1,1,"very_unsat","very_high","yes",8536
"one",43550,239,15,785101,192,25,6,"very_sat","high","no",9354
"one",29396,0,88,202062,190,1,1,"very_unsat","very_high","no",3238
"zero",155377,0,8,471591,539,0,5,"very_unsat","very_little","no",6930
"one",154811,144,83,241588,798,11,2,"sat","avg","no",9493
"zero",44939,0,77,177921,198,0,1,"very_unsat","very_little","no",5849
"zero",98539,0,16,450514,331,0,4,"very_sat","little","no",7209
"one",81180,48,0,956226,379,3,10,"unsat","little","no",3304
"one",84940,204,13,824376,280,22,5,"sat","very_little","yes",7782
"zero",33035,213,80,367549,136,15,2,"very_unsat","little","yes",2168
"one",124559,0,74,172897,514,0,2,"avg","very_high","no",6189
"one",42288,49,53,893070,204,5,1,"very_unsat","little","no",3680
"zero",35545,172,23,213794,249,11,1,"very_sat","very_high","yes",581
"zero",139276,64,23,866635,489,5,6,"very_unsat","little","no",3813
"zero",158431,0,0,317777,498,0,9,"sat","avg","no",790
"one",22994,157,69,453359,230,13,1,"very_unsat","very_little","yes",9854
"zero",151928,165,15,457489,526,15,6,"very_sat","little","no",3489
"zero",75899,117,16,915909,258,14,6,"unsat","very_high","yes",8978
"one",46234,61,0,518661,242,3,10,"very_sat","little","yes",3615
"one",159736,53,70,174030,709,5,2,"unsat","little","no",6929
"one",33715,0,76,208811,202,1,2,"very_unsat","little","yes",4062
"one",23111,55,0,507120,132,3,14,"very_unsat","very_little","no",4283
"one",126321,0,16,979867,761,1,4,"very_unsat","little","no",7245
"zero",25682,192,16,266698,138,18,11,"unsat","very_little","no",7783
"one",29705,63,18,484834,229,5,4,"very_unsat","very_little","yes",2052
"one",146252,228,52,915868,279,12,1,"very_unsat","avg","no",6740
"one",132188,49,0,184402,279,3,13,"sat","very_little","no",1058
"zero",68189,53,66,938047,394,3,1,"avg","very_little","no",4214
"one",143850,52,10,284597,658,5,5,"unsat","little","no",5267
"one",98395,69,33,222587,312,5,1,"very_unsat","avg","no",768
"one",41306,223,0,176972,202,22,12,"very_unsat","avg","no",1889
"zero",146497,59,0,286689,615,5,9,"sat","very_high","no",6892
"one",61243,174,0,998519,381,25,15,"unsat","little","no",4129
"zero",56559,262,0,221197,310,19,13,"very_unsat","little","no",2375
"zero",93815,0,66,216870,870,0,2,"avg","very_little","no",4196
"zero",26011,203,10,176665,200,22,4,"very_unsat","little","no",3853
"one",141185,46,0,268160,697,4,12,"sat","high","yes",7431
"zero",62189,71,27,262348,390,5,2,"unsat","very_high","yes",7387
"one",139573,64,21,212836,756,4,4,"very_sat","very_high","no",4722
"one",118936,60,0,202769,773,5,9,"very_unsat","little","yes",9665
"one",31988,50,23,230919,175,3,5,"very_sat","little","yes",8680
"one",22050,181,0,388353,338,22,1,"very_unsat","very_little","yes",5616
"zero",66552,200,10,433568,341,23,6,"very_sat","little","no",7323
"one",36000,81,0,823715,132,25,14,"unsat","high","no",8737
"one",106658,243,0,270810,621,19,13,"very_sat","high","no",7524
"zero",46786,44,0,964756,193,5,8,"very_unsat","little","no",9528
"zero",48715,48,30,162051,187,0,2,"sat","little","no",7469
"zero",109747,67,23,282966,748,4,5,"very_unsat","very_little","no",4581
"zero",20363,60,0,301830,148,4,11,"avg","very_little","yes",8402
"zero",21242,65,12,868877,154,4,4,"very_sat","very_little","no",8098
"one",53646,68,73,170301,366,5,2,"very_sat","avg","no",3294
"one",54689,0,23,284150,396,5,4,"sat","very_little","no",8117
"one",134643,0,36,594342,838,1,1,"avg","very_high","no",4034
"zero",24320,0,35,384404,178,0,2,"very_unsat","little","yes",3524
"one",50444,0,56,231784,396,0,1,"unsat","very_high","no",4425
"zero",37874,0,0,739422,239,0,13,"unsat","little","no",9776
"zero",38108,195,21,608311,161,14,5,"unsat","high","no",3318
"one",40923,57,0,425493,209,5,14,"avg","little","no",6418
"zero",84949,63,14,758788,376,3,6,"avg","little","no",8175
"zero",83700,0,0,414747,380,1,15,"very_unsat","very_high","no",5216
"zero",40042,0,0,460643,193,1,10,"avg","little","no",2707
"one",37806,0,5,595651,131,5,5,"very_unsat","very_high","no",6373
"one",38451,0,0,863980,149,1,14,"very_sat","very_little","no",3897
"one",44559,0,11,401246,137,0,1,"very_unsat","little","no",6657
"zero",48013,197,0,222103,209,23,9,"very_unsat","high","no",4433
"zero",36656,0,32,217879,219,1,2,"very_sat","little","yes",4475
"zero",52713,216,28,991166,303,17,2,"very_sat","very_little","no",1436
"zero",121849,52,6,811705,439,3,4,"very_unsat","little","yes",4157
"zero",109109,53,61,474827,485,3,2,"unsat","little","no",2161
"one",134509,175,16,530332,677,13,5,"very_unsat","little","no",6454
"zero",60940,0,0,952229,331,0,15,"very_unsat","little","no",2992
"one",39267,0,21,975735,224,1,5,"very_unsat","little","no",2007
"one",139913,0,27,167480,579,1,2,"very_sat","very_little","yes",4568
"one",40368,0,0,233973,173,0,10,"very_sat","very_high","no",4042
"zero",122977,0,17,431095,493,1,6,"very_sat","very_little","no",5359
"zero",35784,29,6,195449,194,4,5,"unsat","little","yes",690
"one",103284,78,0,939659,816,3,14,"very_unsat","little","no",1015
"one",46140,148,20,811294,135,26,4,"unsat","little","no",9400
"zero",26373,237,0,601999,218,12,15,"very_sat","very_little","no",2316
"zero",32842,201,40,669920,132,15,1,"very_unsat","very_little","no",3733
"zero",23446,90,45,569129,157,3,4,"unsat","very_high","yes",438
"one",78229,216,28,166697,342,0,1,"very_sat","very_little","no",4530
"zero",68197,65,17,229191,261,3,6,"very_sat","little","no",9416
"zero",43342,0,0,467978,241,0,8,"very_unsat","little","no",6153
"one",25328,0,21,162584,132,0,4,"unsat","very_high","no",2581
"one",37910,0,0,410690,178,1,9,"very_unsat","very_little","no",7670
"zero",70988,0,50,966176,314,0,1,"sat","little","no",7030
"one",118051,0,0,220239,772,1,9,"very_unsat","very_high","yes",6665
"zero",148707,65,6,249328,884,5,5,"very_unsat","very_little","no",1228
"one",38108,152,57,658716,217,11,4,"avg","very_little","no",9765
"zero",27167,236,15,649055,186,23,2,"very_unsat","high","no",6407
"one",53258,20,6,503398,324,3,5,"very_unsat","very_little","yes",293
"zero",64329,230,0,681859,372,18,11,"very_unsat","little","yes",4849
"zero",116100,56,83,750416,588,5,1,"very_sat","little","yes",1914
"zero",122209,184,0,183347,330,1,15,"sat","very_high","yes",10000
"one",67094,149,13,193696,255,17,2,"unsat","little","no",3194
"one",32277,0,0,887622,131,0,12,"unsat","very_high","no",3554
"one",117741,0,17,340070,493,0,4,"very_unsat","very_little","no",8689
"one",46326,0,10,406102,138,1,4,"very_unsat","very_little","yes",5449
"one",33914,0,17,152883,168,1,5,"very_unsat","little","no",8557
"one",121036,62,87,551185,845,5,1,"very_unsat","little","no",7232
"one",22603,0,31,619936,218,10,1,"very_sat","very_little","no",6731
"one",25223,192,15,870937,211,11,4,"very_unsat","very_little","no",3190
"zero",47392,67,21,588182,213,5,5,"unsat","very_high","no",3807
"zero",134609,219,0,504885,536,13,11,"very_unsat","very_little","yes",4004
"zero",50816,54,72,199202,371,5,2,"very_unsat","very_little","no",2181
"zero",39996,37,0,248769,165,4,12,"very_unsat","very_little","yes",2656
"one",137640,0,67,344964,667,1,1,"unsat","high","yes",7449
"zero",41974,33,24,293961,210,3,2,"unsat","little","yes",1502
"zero",140672,64,76,239793,407,5,2,"unsat","little","no",9495
"one",118043,207,21,186448,578,27,5,"very_sat","very_high","no",9869
"zero",67177,0,17,346790,291,1,6,"very_sat","high","no",1415
"one",31649,62,83,237696,143,4,2,"avg","very_high","no",3584
"one",155798,38,0,195435,565,4,13,"very_unsat","high","yes",6353
"zero",72496,81,37,880243,378,4,2,"sat","little","yes",8935
"zero",117018,194,0,177759,607,21,14,"unsat","high","yes",2084
"one",35551,0,81,284092,155,1,1,"unsat","little","no",4688
"one",31456,189,8,543923,193,18,6,"very_sat","very_high","no",5949
"zero",138072,0,21,643323,627,0,5,"very_unsat","little","no",281
"one",144440,199,14,588020,498,28,2,"unsat","little","no",3485
"one",68858,62,0,524927,232,4,11,"very_unsat","very_high","yes",9035
"one",42790,34,0,599044,244,3,15,"unsat","little","no",4501
"zero",69185,50,29,275795,728,4,1,"sat","little","no",7439
"zero",74479,72,22,219596,351,5,5,"very_sat","little","no",4479
"one",57583,184,78,187041,314,12,1,"avg","very_high","no",2946
"one",117906,0,62,281586,623,0,1,"unsat","very_little","yes",4976
"zero",76246,0,23,173842,250,0,5,"very_unsat","very_little","no",3464
"zero",61104,0,33,284858,253,0,1,"very_unsat","little","no",870
"zero",87088,43,27,464493,297,5,2,"very_unsat","very_high","no",8235
"one",93655,191,8,549592,288,28,6,"unsat","little","no",7102
"zero",26712,29,68,222577,241,3,1,"very_sat","very_little","yes",4577
"zero",25081,0,0,251156,2000234,0,8,"avg","little","no",564
"one",53915,49,35,805910,303,4,1,"very_sat","very_high","no",9081
"zero",76663,71,9,516802,383,5,5,"very_unsat","very_little","no",3324
"one",72157,62,70,382456,280,29,1,"very_unsat","very_little","no",3978
"zero",86954,222,35,980640,311,16,1,"very_sat","very_little","yes",8567
"one",103230,203,0,382119,877,18,11,"very_unsat","little","yes",9608
"one",92758,159,38,755862,297,15,2,"unsat","little","no",9617
"one",63299,67,60,182526,333,5,1,"very_unsat","very_high","no",3043
"zero",77420,0,0,787467,289,0,11,"very_sat","little","no",9562
"zero",155887,222,5,278516,811,29,6,"very_unsat","very_high","yes",5212
"zero",74844,0,16,743602,304,1,6,"very_unsat","little","no",6266
"one",78676,242,48,433144,287,25,2,"very_unsat","avg","no",787
"zero",122561,71,21,321896,572,4,5,"very_sat","very_little","no",5603
"one",21306,0,0,439964,358,0,13,"very_sat","little","no",3484
"zero",120287,0,69,165283,468,0,4,"very_sat","very_high","no",4808
"one",81553,62,27,308897,392,3,5,"very_unsat","little","no",8511
"zero",84749,46,0,256617,329,5,13,"avg","avg","no",3210
"one",86999,76,0,284396,262,3,10,"sat","very_little","yes",6188
"one",132488,46,0,366392,885,3,14,"unsat","little","no",7836
"zero",36257,0,23,423225,175,0,5,"very_sat","little","yes",3396
"zero",155058,43,0,286356,516,5,9,"very_unsat","little","no",1348
"zero",126251,80,0,825825,705,3,2,"unsat","little","no",4749
"zero",85230,62,0,200147,704,5,8,"very_unsat","high","no",5326
"one",141820,0,24,576522,565,1,6,"unsat","avg","yes",798
"zero",79820,205,0,322681,393,27,10,"very_sat","very_high","no",6704
"one",135520,63,72,923135,525,4,1,"very_unsat","little","yes",2719
"one",94920,0,0,197388,264,1,15,"avg","very_high","no",7495
"one",76848,212,0,415177,298,1,12,"very_sat","very_high","yes",6403
"zero",39074,178,11,411734,247,26,2,"very_unsat","very_little","no",6006
"one",22066,57,0,875069,235,3,9,"sat","high","no",913
"one",51814,200,0,912385,293,10,14,"very_unsat","little","no",5726
"one",101063,61,52,669958,313,4,2,"very_unsat","little","yes",6252
"zero",142895,57,37,153394,666,5,2,"very_sat","very_high","yes",8042
"zero",66923,0,20,210049,345,1,5,"very_unsat","little","yes",7963
"zero",86812,194,65,760548,361,10,2,"very_sat","very_little","yes",6311
"one",70767,168,0,162292,354,17,13,"very_sat","very_little","yes",3338
"one",159085,72,34,814095,475,5,1,"very_sat","little","no",2705
"zero",34102,55,30,258260,235,3,2,"very_unsat","very_high","yes",8921
"one",48584,0,0,809150,209,0,12,"very_unsat","very_little","no",8320
"one",21042,207,15,747214,147,14,4,"very_sat","little","no",2287
"one",46300,59,15,903928,169,3,4,"very_unsat","very_little","yes",9923
"one",157911,198,0,312815,473,29,15,"unsat","little","no",7995
"one",111280,149,0,878700,645,16,8,"unsat","little","no",3629
"one",101579,0,14,265128,608,0,6,"avg","little","no",2429
"zero",95609,171,24,212697,275,23,4,"very_unsat","very_little","yes",5085
"one",51014,226,83,171754,388,26,1,"very_unsat","very_high","no",7763
"one",37151,144,0,876897,165,14,8,"very_unsat","little","no",270
"zero",31252,59,9,256593,179,3,6,"avg","avg","no",7220
"one",118611,191,0,251168,719,14,13,"very_sat","little","no",7625
"one",56073,0,0,311432,351,0,15,"unsat","high","yes",5732
"zero",87663,69,11,683329,393,3,5,"very_unsat","high","no",9353
"one",30047,0,29,258078,160,0,2,"unsat","very_little","yes",3264
"zero",60273,50,0,586647,385,3,9,"very_unsat","very_high","no",2351
"one",46870,65,0,472416,178,3,11,"very_sat","little","no",747
"one",115604,214,17,244728,757,26,6,"very_sat","very_little","no",6934
"one",137729,46,11,207827,594,5,4,"unsat","little","yes",8390
"zero",52336,0,0,423367,259,1,13,"very_sat","high","yes",840
"zero",67563,118,15,691688,299,14,5,"very_unsat","very_little","no",9293
"zero",27233,0,9,211168,147,1,4,"avg","very_high","no",1426
"one",65743,0,0,197097,363,0,14,"very_unsat","high","no",7931
"zero",65213,29,80,851825,263,1,1,"very_sat","very_little","yes",3768
"one",123826,37,21,206492,860,5,6,"very_unsat","little","no",1030
"zero",151114,206,27,547897,651,29,1,"unsat","very_little","yes",3353
"one",22081,63,0,848881,154,4,14,"very_sat","very_high","yes",6107
"zero",129434,175,6,327184,527,27,6,"very_sat","very_high","yes",2053
"one",122043,62,9,755096,531,5,4,"very_unsat","very_high","no",1248
"zero",35209,186,0,769668,140,18,6,"very_sat","very_little","yes",9167
"zero",64748,0,14,942188,349,3,4,"very_unsat","very_high","no",2616
"one",62923,65,0,659023,289,5,4,"unsat","very_little","no",3725
"one",22906,52,78,489482,447,4,1,"avg","very_little","no",2776
"one",148722,54,0,928853,542,4,10,"sat","very_little","no",1420
"zero",124392,65,0,692467,748,4,8,"very_unsat","avg","no",2570
"zero",109231,208,47,347437,829,20,2,"unsat","little","no",3513
"one",139412,0,0,387352,747,1,9,"very_sat","avg","no",2140
"zero",32449,63,7,172010,142,4,4,"very_unsat","very_little","no",6588
"one",152897,193,0,412586,425,21,14,"very_unsat","high","no",1723
"zero",107213,55,88,941334,801,26,1,"unsat","little","no",9243
"zero",118857,63,23,517202,550,4,6,"very_unsat","high","no",6741
"zero",99748,0,24,232234,251,1,6,"very_unsat","avg","no",1312
"one",43871,0,0,410083,354,0,9,"very_unsat","very_high","no",9865
"zero",102473,79,0,964729,895,3,12,"very_sat","little","no",7375
"zero",129527,63,12,579985,869,11,5,"very_unsat","little","no",1428
"one",36909,205,58,949304,221,16,6,"very_sat","little","yes",379
"zero",153636,218,11,178629,547,16,4,"sat","little","no",8107
"zero",70521,50,15,283414,358,3,4,"very_sat","little","no",4319
"zero",48899,0,0,502818,205,1,9,"very_sat","little","no",2059
"one",34666,201,0,489773,248,19,10,"unsat","very_high","no",1819
"one",36408,204,7,415116,247,19,4,"very_sat","little","no",2552
"zero",155565,45,0,427519,709,4,12,"very_unsat","avg","no",8129
"zero",20642,0,13,836115,227,0,6,"very_sat","very_high","no",8083
"zero",50225,0,8,193197,363,0,4,"very_unsat","very_little","no",9077
"one",50871,232,32,608297,381,18,1,"unsat","very_little","yes",4881
"zero",36987,0,16,301098,137,0,4,"very_sat","very_little","no",9074
"one",33442,159,17,579642,184,15,4,"very_sat","little","no",7486
"zero",124967,194,27,172160,571,27,2,"sat","little","no",4209
"zero",31774,90,22,689437,214,1,5,"very_unsat","high","no",6644
"one",118395,44,84,838742,403,3,1,"very_unsat","very_little","no",1330
"one",43994,72,50,283258,195,5,2,"unsat","avg","no",421
"one",73762,0,0,275861,269,0,15,"very_sat","very_little","no",8458
"one",105959,222,45,485643,771,28,1,"very_unsat","little","no",2039
"one",141300,246,24,799643,857,25,6,"very_unsat","little","no",8915
"zero",59401,237,5,821817,267,10,5,"very_unsat","little","no",7284
"one",50163,0,14,357428,179,0,5,"very_unsat","very_little","no",3394
"zero",133592,273,22,942685,372,11,4,"very_unsat","little","no",9286
"one",52193,66,0,285576,373,5,10,"very_unsat","little","no",1582
"zero",70610,204,0,522522,375,13,11,"very_sat","little","yes",3599
"one",35964,0,66,383013,202,0,2,"avg","very_little","no",7910
"zero",153339,66,45,291797,645,4,2,"very_unsat","very_high","yes",3640
"zero",147559,55,18,890153,664,5,4,"unsat","little","no",9829
"one",105401,137,0,992542,420,21,13,"unsat","very_little","no",4737
"zero",21115,128,43,275690,137,0,1,"very_unsat","very_little","no",7343
